AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;
"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),20.01.2006,R,26/06,0,""Gesetz zu dem ÌÏbereinkommen vom 14. April 2005 Ì_ber den Beitritt der Tschechischen Republik, der Republik Estland, der Republik Zypern, der Republik Lettland, der Republik Litauen, der Republik Ungarn, der Republik Malta, der Republik Polen, der Republik Slowenien und der Slowakischen Republik zu dem ÌÏbereinkommen von 1980 Ì_ber das auf vertragliche SchuldverhÌ_ltnisse anzuwendende Recht sowie zu dem Ersten und dem Zweiten Protokoll Ì_ber die Auslegung des ÌÏbereinkommens durch den Gerichtshof der EuropÌ_ischen Gemeinschaften (Viertes BeitrittsÌ_bereinkommen zum SchuldvertragsÌ_bereinkommen)"",2006";
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),20.01.2006,In,25/06,0,Gesetz zu dem Vertrag vom 2. MÌ_rz 2005 zwischen der Bundesrepublik Deutschland und dem KÌ¦nigreich der Niederlande Ì_ber die grenzÌ_berschreitende polizeiliche Zusammenarbeit und die Zusammenarbeit in strafrechtlichen Angelegenheiten,2006;
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),20.01.2006,In,24/06,0,Gesetz zu dem Protokoll vom 27. November 2003 zur Ìãnderung des Europol-ÌÏbereinkommens und zur Ìãnderung des Europol-Gesetzes,2006;
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vk (fdf),20.01.2006,Vk,23/06,0,Erstes Gesetz zur Ìãnderung des Seeaufgabengesetzes,2006;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),13.01.2006,Wi,22/06,0,EinhundertzweiundfÌ_nfzigste Verordnung zur Ìãnderung der Einfuhrliste - Anlage zum AuÌÙenwirtschaftsgesetz -,2006;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),13.01.2006,Wi,21/06,0,Zweiundsiebzigste Verordnung zur Ìãnderung der AuÌÙenwirtschaftsverordnung,2006;
"0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,EU (fdf) - Fz - U - Vk - Wi,12.01.2006,EU,20/06,0,""Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates Ì_ber die Typgenehmigung von Kraftfahrzeugen hinsichtlich ihrer Emissionen, Ì_ber den Zugang zu Reparaturinformation fÌ_r Kraftfahrzeuge und zur Ìãnderung der Richtlinien 72/306/EWG und ..../...../EG"",2006";
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),31.01.2006,R,19/06,0,Verfahren vor dem Bundesverfassungsgericht,2006;
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Vk (fdf) - Fz,12.01.2006,Vk,18/06,0,Entwurf eines Gesetzes zur Ìãnderung des PersonenbefÌ¦rderungsgesetzes und des Allgemeinen Eisenbahngesetzes,2006;
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,EU (fdf) - A - U,11.01.2006,EU,17/06,0,Vorschlag fÌ_r eine Verordnung des Rates zur Ìãnderung der Verordnung (EWG) Nr. 2092/91 des Rates Ì_ber den Ì¦kologischen Landbau / die biologische Landwirtschaft und die entsprechende Kennzeichnung der landwirtschaftlichen Erzeugnisse und Lebensmittel,2006;
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,EU (fdf) - A - R,11.01.2006,EU,16/06,0,Vorschlag fÌ_r eine Verordnung des Rates zum Schutz von geografischen Angaben und Ursprungsbezeichnungen fÌ_r Agrarerzeugnisse und Lebensmittel,2006;
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,EU (fdf) - A - R,11.01.2006,EU,15/06,0,Vorschlag fÌ_r eine Verordnung des Rates Ì_ber die garantiert traditionellen SpezialitÌ_ten bei Agrarerzeugnissen und Lebensmitteln,2006;
"0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,EU (fdf) - K - R - Wi,11.01.2006,EU,14/06,0,""Vorschlag fÌ_r eine Verordnung des Rates zur Ìãnderung der Verordnungen (EG) Nr. 6/2002 und (EG) Nr. 40/94, mit der dem Beitritt der EuropÌ_ischen Gemeinschaft zur Genfer Akte des Haager Abkommens Ì_ber die internationale Eintragung gewerblicher Muster und Modelle Wirkung verliehen wird"",2006";
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,EU (fdf) - K - R - Wi,11.01.2006,EU,13/06,0,Vorschlag fÌ_r einen Beschluss des Rates zur Genehmigung des Beitritts der EuropÌ_ischen Gemeinschaft zu der am 2. Juli 1999 in Genf abgeschlossenen Genfer Akte des Haager Abkommens Ì_ber die internationale Eintragung gewerblicher Muster und Modelle,2006;
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,EU (fdf) - R - Wi,11.01.2006,EU,12/06,0,GrÌ_nbuch der Kommission der EuropÌ_ischen Gemeinschaften: Schadenersatzklagen wegen Verletzung des EU-Wettbewerbsrechts,2006;
0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,EU (fdf) - Fz - In - U - Vk - Wi,11.01.2006,EU,11/06,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber die FÌ¦rderung sauberer StraÌÙenfahrzeuge,2006;
"0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,EU (fdf) - In - U - Wi,10.01.2006,EU,10/06,0,""Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften an den Rat, das EuropÌ_ische Parlament, den EuropÌ_ischen Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen Ì_ber die Weiterentwicklung der nachhaltigen Ressourcennutzung: Eine thematische Strategie fÌ_r Abfallvermeidung und -recycling"",2006";
