AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,U (fdf) - G - Wi,04.12.2013,U,795/13,0,EntschlieÌÙung des Bundesrates zur Notwendigkeit immissionsschutzrechtlicher Regelungen der Anforderungen an Errichtung und Betrieb von VerdunstungskÌ_hlanlagen,2013;;;;;;
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,AS (fdf) - AV - FJ - FS,20.11.2013,AS,794/13,0,Lagebericht der Bundesregierung Ì_ber die Alterssicherung der Landwirte 2013,2013;;;;;;
"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AS (fdf) - FJ - FS,20.11.2013,AS,793/13,0,""Bericht der Bundesregierung Ì_ber die gesetzliche Rentenversicherung, insbesondere Ì_ber die Entwicklung der Einnahmen und Ausgaben, der NachhaltigkeitsrÌ_cklage sowie des jeweils erforderlichen Beitragssatzes in den kÌ_nftigen 15 Kalenderjahren (Rentenversicherungsbericht 2013) und Gutachten des Sozialbeirats zum Rentenversicherungsbericht 2013"",2013";;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),02.12.2013,Fz,792/13,0,HaushaltsfÌ_hrung 2013 Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1710 Titel 681 02 - Elterngeld - bis zu einer HÌ¦he von 280 Mio. Euro,2013;;;;;;
"0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,EU (fdf) - AS - Fz - In,29.11.2013,EU,791/13,0,""Mitteilung der Kommission an das EuropÌ_ische Parlament, den Rat, den EuropÌ_ischen Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen: FreizÌ_gigkeit der EU-BÌ_rger und ihrer Familien: fÌ_nf grundlegende MaÌÙnahmen"",2013";;;;;;
"0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,EU (fdf) - Fz - R,28.11.2013,EU,790/13,0,""Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber vorlÌ_ufige Prozesskostenhilfe fÌ_r VerdÌ_chtige oder Beschuldigte, denen die Freiheit entzogen ist, sowie Ì_ber Prozesskostenhilfe in Verfahren zur Vollstreckung eines EuropÌ_ischen Haftbefehls"",2013";;;;;;
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,EU (fdf) - FJ - In - R,28.11.2013,EU,789/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber Verfahrensgarantien in Strafverfahren fÌ_r verdÌ_chtige oder beschuldigte Kinder,2013;;;;;;
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,EU (fdf) - In - R,28.11.2013,EU,788/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur StÌ_rkung bestimmter Aspekte der Unschuldsvermutung und des Rechts auf Anwesenheit in der Verhandlung in Strafverfahren,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),28.11.2013,Fz,787/13,0,HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 27 Absatz 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1702 Titel 686 01 ErlÌ_uterungsnummer 2 - Zuweisung an den Fonds fÌ_r Opfer der Heimerziehung Ost -,2013;;;;;;
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,EU (fdf) - In - K - R - Wi,28.11.2013,EU,786/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber den Schutz vertraulichen Know-hows und vertraulicher GeschÌ_ftsinformationen (GeschÌ_ftsgeheimnisse) vor rechtswidrigem Erwerb sowie rechtswidriger Nutzung und Offenlegung,2013;;;;;;
,,,,,,,,,,,,,,,,22.11.2013,,785/13,,Bericht der Bundesregierung Ì_ber ihre Exportpolitik fÌ_r konventionelle RÌ_stungsgÌ_ter im Jahr 2012 (RÌ_stungsexportbericht 2012),2013;;;;;;
,,,,,,,,,,,,,,,,28.11.2013,,784/13,,Gesetz zur Anpassung des Investmentsteuergesetzes und anderer Gesetze an das AIFM-Umsetzungsgesetz (AIFM-Steuer-Anpassungsgesetz - AIFM-StAnpG),2013;;;;;;
