AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
,,,,,,,,,,,,,,,,19.12.2002,,915/02,,Gesetz zur Einbeziehung beurlaubter Beamter in die kapitalgedeckte Altersversorgung,2002
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,R (fdf) - FJ - In,13.12.2002,R,914/02(neu),0,Entwurf eines ... Strafrechtsänderungsgesetzes -Graffiti-Bekämpfungsgesetz- (... StrÄndG),2002
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,G (fdf),11.12.2002,G,913/02,0,Entschließung des Bundesrates zur Übernahme der Kosten von PSA-Tests im Rahmen der gesetzlichen Krankenversicherung,2002
,,,,,,,,,,,,,,,,11.12.2002,,912/02,,Entwurf eines Gesetzes über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet (Heimkehrerentschädigungsgesetz),2002
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),10.12.2002,R,911/02,0,Entwurf eines Gesetzes zur Änderung der Zivilprozessordnung,2002
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,R (fdf) - In,10.12.2002,R,910/02,0,Entwurf eines ... Gesetzes zur Änderung des Strafvollzugsgesetzes,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),10.12.2002,Fz,909/02,0,Entwurf eines Gesetzes zur Aufhebung des Vermögensteuergesetzes,2002
,,,,,,,,,,,,,,,,10.12.2002,,908/02,,Entwurf eines Gesetzes zur Vereinfachung und Vereinheitlichung der Verfahrensvorschriften zur Wahl und Berufung ehrenamtlicher Richter,2002
,,,,,,,,,,,,,,,,19.12.2002,,907/02,,Gesetz über die Feststellung eines Nachtrags zum Bundeshaushaltsplan für das Haushaltsjahr 2002 (Nachtragshaushaltsgesetz 2002),2002
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),06.12.2002,K,906/02,0,"Benennung eines Mitglieds des Kuratoriums der Stiftung ""Haus der Geschichte der Bundesrepublik Deutschland""",2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),06.12.2002,Fz,905/02,0,Haushaltsführung 2002 Unterrichtung über die Erteilung der Einwilligung in eine überplanmäßige Ausgabe bei Kapitel 1112 Titel 616 31 - Zuschuss an die Bundesanstalt für Arbeit -,2002
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,EU (fdf) - U - Wi,04.12.2002,EU,904/02,0,"Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates zur Änderung der Verordnung (EG) Nr. 2037/2000 in Bezug auf kritische Verwendungszwecke und die Ausfuhr von Halonen, die Ausfuhr Fluorchlorkohlenwasserstoffe enthaltender Produkte und Einrichtungen und Vorschriften für Chlorbrommethan",2002
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,EU (fdf) - U - Vk - Wi,04.12.2002,EU,903/02,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates zur Änderung der Richtlinie 1999/32/EG hinsichtlich des Schwefelgehalts von Schiffskraftstoffen,2002
0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,R (fdf) - AS - Fz - In - Wi - Wo,09.12.2002,R,902/02,0,Entwurf eines Gesetzes zur dinglichen Sicherung von Werkunternehmeransprüchen und zur verbesserten Durchsetzung von Forderungen (Forderungssicherungsgesetz - FoSiG),2002
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Vk (fdf) - In - U,06.12.2002,Vk,901/02,0,Entwurf eines ... Gesetzes zur Änderung des Bundesfernstraßengesetzes (... FStrÄndG),2002
0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,EU (fdf) - Fz - In - Wi - Wo,06.12.2002,EU,900/02,0,Entschließung des Bundesrates zur Änderung der Schwellenwerte in der Dienstleistungsrichtlinie,2002
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,U (fdf) - In - Wi,06.12.2002,U,899/02,0,Entschließung des Bundesrates zur Änderung der Verordnung über immissionsschutz- und abfallrechtliche Überwachungserleichterungen für nach der Verordnung (EG) Nr. 761/2001 registrierte Standorte und Organisationen (EMAS-Privilegierungs-Verordnung) sowie des § 58e Bundes-Immissionsschutzgesetz,2002
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,EU (fdf) - R,06.12.2002,EU,898/02,0,Entschließung des Bundesrates zur stärkeren Berücksichtigung der deutschen Systematik bei der Erstellung europarechtlicher Richtlinien,2002
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,U (fdf) - In - Wi,06.12.2002,U,897/02,0,Entwurf einer Verordnung zur Änderung der Geräte- und Maschinenlärmschutzverordnung,2002
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,R (fdf) - In,06.12.2002,R,896/02,0,Entwurf eines Gesetzes zur Regelung der Aufklärungshilfe im Strafrecht,2002
,,,,,,,,,,,,,,,,06.12.2002,,895/02,,Zwölftes Gesetz zur Änderung des Fünften Buches Sozialgesetzbuch (Zwölftes SGB V-Änderungsgesetz - 12. SGB V-ÄndG),2002
,,,,,,,,,,,,,,,,06.12.2002,,894/02(neu),,Gesetz zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung (Beitragssatzsicherungsgesetz - BSSichG),2002
,,,,,,,,,,,,,,,,06.12.2002,,893/02(neu),,Gesetz zur Fortentwicklung der ökologischen Steuerreform,2002
